Bestandeseinheit,Baumart,Baumnummer,D_1984,Aus_1984,H_1984,D_1995,Aus_1995,H_1995,D_2006,Aus_2006,H_2006,D_2013,Aus_2013,H_2013
2,Ofi,111,17.8,NA,10.5,23.5,NA,NA,25.3,1,NA,NA,NA,NA
1,Dgl,112,11.9,NA,NA,18.8,NA,NA,30.4,NA,NA,40.7,NA,29.1
2,Ofi,113,10.3,NA,NA,12.0,NA,NA,23.3,NA,NA,25.3,NA,NA
2,Ofi,114,10.2,NA,NA,15.2,NA,NA,18.5,1,NA,NA,NA,NA
2,Ofi,115,16.4,NA,NA,21.9,NA,NA,22.5,7,NA,NA,NA,NA
2,Ofi,116,9.8,NA,NA,12.0,1,NA,NA,NA,NA,NA,NA,NA
3,Fi,117,9.5,NA,NA,14.7,NA,NA,19.2,1,NA,NA,NA,NA
3,Fi,118,9.4,NA,NA,15.2,NA,NA,25.2,1,NA,NA,NA,NA
3,Fi,119,9.4,NA,NA,10.2,4,NA,NA,NA,NA,NA,NA,NA
3,Fi,120,7.6,NA,NA,7.6,6,NA,NA,NA,NA,NA,NA,NA
1,Dgl,121,13.9,NA,NA,19.5,NA,NA,25.1,1,NA,NA,NA,NA
1,Dgl,122,14.8,NA,NA,22.5,NA,NA,29.1,NA,NA,34.7,NA,NA
1,Dgl,123,16.0,NA,NA,23.7,NA,NA,27.0,7,NA,NA,NA,NA
2,Ofi,124,11.5,NA,NA,14.3,NA,NA,16.5,7,NA,NA,NA,NA
2,Ofi,125,14.0,NA,NA,15.8,NA,NA,16.5,7,NA,NA,NA,NA
3,Fi,126,4.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,127,14.2,NA,NA,19.5,NA,NA,22.3,NA,NA,23.2,NA,NA
2,Ofi,128,11.0,NA,NA,12.9,NA,NA,13.5,NA,NA,20.5,NA,NA
2,Ofi,129,10.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,130,12.8,NA,NA,15.0,NA,NA,15.4,NA,NA,15.8,NA,NA
1,Dgl,131,16.5,NA,NA,27.5,NA,NA,32.5,NA,NA,52.2,NA,32.8
1,Dgl,132,12.9,NA,NA,21.8,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,133,9.9,NA,NA,12.1,NA,NA,14.0,7,NA,NA,NA,NA
1,Dgl,134,17.0,NA,NA,26.3,NA,NA,36.1,NA,27.0,43.9,NA,30.1
1,Dgl,135,19.2,NA,NA,32.0,NA,25.5,34.4,NA,NA,36.8,NA,NA
2,Ofi,136,11.4,NA,NA,13.6,NA,NA,14.5,7,NA,NA,NA,NA
2,Ofi,137,15.3,NA,NA,26.2,NA,NA,28.0,1,NA,NA,NA,NA
2,Ofi,138,12.3,NA,NA,18.1,NA,NA,19.0,7,NA,NA,NA,NA
2,Ofi,139,11.1,NA,NA,13.2,NA,NA,14.5,7,NA,NA,NA,NA
2,Ofi,140,13.1,NA,10.5,15.9,NA,NA,16.0,7,NA,NA,NA,NA
2,Ofi,141,12.6,NA,NA,15.7,1,15.0,NA,NA,NA,NA,NA,NA
2,Ofi,142,10.3,NA,NA,10.6,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,143,10.7,NA,NA,13.3,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,144,7.2,NA,NA,11.2,NA,NA,17.0,7,NA,NA,NA,NA
2,Ofi,145,6.8,NA,NA,8.8,1,NA,NA,NA,NA,NA,NA,NA
2,Ofi,146,9.7,NA,NA,11.3,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,147,14.4,NA,NA,28.0,NA,NA,32.5,NA,NA,45.6,NA,NA
2,Ofi,148,10.2,NA,NA,11.5,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,149,9.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,150,9.0,NA,NA,11.9,NA,NA,13.0,7,NA,NA,NA,NA
2,Ofi,151,10.1,NA,NA,11.2,4,NA,NA,NA,NA,NA,NA,NA
2,Ofi,152,7.8,NA,NA,7.9,4,NA,NA,NA,NA,NA,NA,NA
2,Ofi,153,10.1,NA,NA,11.4,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,154,9.0,NA,NA,9.6,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,155,14.8,NA,NA,20.5,NA,NA,21.5,NA,NA,25.4,NA,NA
2,Ofi,156,12.6,NA,NA,18.1,NA,NA,20.8,1,NA,NA,NA,NA
2,Ofi,157,14.2,NA,NA,17.7,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,158,14.4,NA,NA,18.1,NA,NA,19.7,NA,NA,20.5,NA,NA
2,Ofi,159,14.1,NA,NA,18.9,NA,NA,19.0,7,16.0,NA,NA,NA
2,Ofi,160,8.7,NA,NA,10.6,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,161,12.3,NA,NA,16.6,4,NA,NA,NA,NA,NA,NA,NA
1,Dgl,162,10.0,NA,NA,21.2,NA,NA,33.9,NA,NA,44.2,NA,NA
2,Ofi,163,9.0,NA,NA,12.0,NA,NA,15.0,7,NA,NA,NA,NA
2,Ofi,164,15.0,NA,NA,19.4,NA,NA,21.2,NA,NA,22.2,NA,NA
2,Ofi,165,13.8,NA,NA,17.1,NA,NA,19.5,7,NA,NA,NA,NA
2,Ofi,166,10.4,NA,NA,14.9,NA,NA,16.5,7,NA,NA,NA,NA
2,Ofi,167,5.9,NA,NA,6.2,4,NA,NA,NA,NA,NA,NA,NA
2,Ofi,168,12.6,NA,NA,13.2,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,169,9.7,NA,NA,12.1,NA,NA,14.0,7,NA,NA,NA,NA
2,Ofi,170,14.1,NA,NA,20.5,NA,NA,22.5,NA,NA,24.0,NA,NA
2,Ofi,171,8.9,NA,NA,9.3,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,172,9.8,NA,NA,12.8,NA,NA,14.5,7,NA,NA,NA,NA
2,Ofi,173,12.0,NA,10.5,15.7,NA,17.0,17.5,7,NA,NA,NA,NA
2,Ofi,174,10.2,NA,NA,12.2,NA,14.5,13.0,7,NA,NA,NA,NA
2,Ofi,175,8.8,NA,NA,12.4,NA,NA,13.0,7,NA,NA,NA,NA
2,Ofi,176,8.8,NA,NA,13.3,NA,NA,15.0,7,NA,NA,NA,NA
2,Ofi,177,12.5,NA,NA,16.1,NA,NA,17.8,NA,17.9,18.4,NA,20.1
2,Ofi,178,8.3,NA,NA,14.2,1,NA,NA,NA,NA,NA,NA,NA
2,Ofi,179,6.2,NA,NA,6.1,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,180,6.1,NA,NA,6.7,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,181,8.9,NA,NA,12.6,NA,NA,15.5,7,NA,NA,NA,NA
2,Ofi,182,9.0,NA,NA,9.3,4,NA,NA,NA,NA,NA,NA,NA
2,Ofi,183,12.9,NA,NA,19.2,NA,NA,21.0,7,NA,NA,NA,NA
2,Ofi,184,9.0,NA,NA,9.4,4,NA,NA,NA,NA,NA,NA,NA
2,Ofi,185,9.2,NA,NA,13.3,NA,NA,16.3,NA,NA,19.6,NA,NA
2,Ofi,186,8.2,NA,NA,8.8,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,187,12.8,NA,NA,16.4,NA,NA,20.0,1,NA,NA,NA,NA
2,Ofi,188,11.0,NA,NA,13.1,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,189,11.4,NA,NA,15.2,NA,NA,18.2,NA,NA,21.1,NA,NA
2,Ofi,190,13.8,NA,NA,19.0,1,NA,NA,NA,NA,NA,NA,NA
2,Ofi,191,10.6,NA,NA,12.8,1,NA,NA,NA,NA,NA,NA,NA
2,Ofi,192,11.7,NA,NA,15.9,NA,NA,17.7,NA,NA,19.5,NA,NA
2,Ofi,193,12.4,NA,NA,16.6,NA,NA,20.7,NA,NA,21.0,NA,NA
2,Ofi,194,9.9,NA,NA,12.0,NA,NA,14.0,7,NA,NA,NA,NA
2,Ofi,195,11.7,NA,NA,16.4,NA,NA,18.1,1,NA,NA,NA,NA
2,Ofi,196,8.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,197,7.8,NA,NA,10.7,NA,NA,24.5,NA,NA,26.5,NA,NA
2,Ofi,198,14.9,NA,NA,20.5,NA,NA,25.5,7,NA,NA,NA,NA
2,Ofi,199,6.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,200,10.6,NA,NA,13.9,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,201,12.1,NA,NA,16.0,NA,NA,20.0,7,NA,NA,NA,NA
2,Ofi,202,8.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,203,12.4,NA,NA,18.6,NA,NA,21.5,NA,NA,24.2,NA,22.5
2,Ofi,204,10.7,NA,NA,12.9,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,205,11.0,NA,NA,14.7,NA,NA,18.0,7,NA,NA,NA,NA
2,Ofi,206,9.6,NA,NA,14.3,NA,NA,18.0,7,NA,NA,NA,NA
2,Ofi,207,8.4,NA,NA,12.1,NA,NA,18.0,7,NA,NA,NA,NA
2,Ofi,208,14.0,NA,NA,20.4,NA,NA,24.8,NA,NA,28.8,NA,NA
2,Ofi,209,10.9,NA,NA,15.5,NA,NA,17.5,7,NA,NA,NA,NA
2,Ofi,210,11.5,NA,NA,18.4,NA,NA,24.3,NA,NA,27.0,NA,NA
2,Ofi,211,10.2,NA,NA,13.1,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,212,10.3,NA,NA,12.0,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,213,13.4,NA,NA,20.7,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,214,8.0,NA,NA,8.3,4,NA,NA,NA,NA,NA,NA,NA
2,Ofi,215,10.0,NA,NA,13.7,NA,NA,16.0,7,NA,NA,NA,NA
2,Ofi,216,11.0,NA,NA,14.2,NA,NA,16.5,7,NA,NA,NA,NA
2,Ofi,217,9.0,NA,NA,12.2,NA,NA,14.2,1,NA,NA,NA,NA
2,Ofi,218,12.2,NA,NA,15.8,NA,NA,18.5,1,NA,NA,NA,NA
2,Ofi,219,10.6,NA,NA,11.5,4,NA,NA,NA,NA,NA,NA,NA
2,Ofi,220,9.5,NA,NA,12.8,NA,NA,14.4,1,NA,NA,NA,NA
2,Ofi,221,9.7,NA,NA,14.5,NA,NA,18.8,1,NA,NA,NA,NA
2,Ofi,222,8.7,NA,NA,9.2,4,NA,NA,NA,NA,NA,NA,NA
2,Ofi,223,9.5,NA,NA,12.5,NA,NA,14.5,7,NA,NA,NA,NA
2,Ofi,224,11.1,NA,NA,15.0,NA,NA,18.2,NA,NA,19.2,NA,NA
2,Ofi,225,7.0,NA,NA,7.6,4,NA,NA,NA,NA,NA,NA,NA
2,Ofi,226,9.8,NA,NA,9.1,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,227,10.6,NA,NA,16.0,NA,NA,19.9,1,NA,NA,NA,NA
2,Ofi,228,12.6,NA,NA,17.5,NA,NA,22.4,1,NA,NA,NA,NA
2,Ofi,229,10.6,NA,NA,14.1,NA,NA,17.5,7,NA,NA,NA,NA
2,Ofi,230,12.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,231,12.2,NA,NA,16.5,NA,NA,18.5,NA,NA,18.7,NA,NA
2,Ofi,232,7.8,NA,NA,10.2,NA,NA,13.5,7,NA,NA,NA,NA
2,Ofi,233,9.4,NA,NA,12.8,NA,NA,15.5,7,NA,NA,NA,NA
2,Ofi,234,9.8,NA,NA,14.2,NA,NA,16.2,1,NA,NA,NA,NA
2,Ofi,235,9.4,NA,NA,11.1,NA,NA,13.5,7,NA,NA,NA,NA
2,Ofi,236,10.1,NA,8.0,11.2,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,237,8.4,NA,8.0,13.0,NA,13.5,16.0,7,NA,NA,NA,NA
2,Ofi,238,8.8,NA,NA,11.4,7,NA,NA,NA,NA,NA,NA,NA
2,Ofi,239,5.8,NA,NA,8.8,NA,NA,12.5,7,NA,NA,NA,NA
2,Ofi,240,17.9,NA,NA,23.3,NA,NA,28.0,NA,NA,29.4,NA,23.4
2,Ofi,241,10.8,NA,NA,14.2,NA,NA,16.5,7,NA,NA,NA,NA
2,Ofi,242,15.4,NA,NA,19.9,NA,NA,24.0,NA,NA,26.7,NA,NA
2,Ofi,243,9.3,NA,NA,11.5,NA,NA,14.5,7,NA,NA,NA,NA
2,Ofi,244,9.6,NA,NA,13.0,NA,NA,17.0,7,NA,NA,NA,NA
2,Ofi,245,11.6,NA,NA,14.8,NA,NA,17.5,NA,NA,25.1,NA,NA
2,Ofi,246,9.3,NA,NA,10.0,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,247,9.3,NA,NA,9.9,4,NA,NA,NA,NA,NA,NA,NA
2,Ofi,248,11.1,NA,NA,18.4,NA,NA,21.5,NA,NA,28.3,NA,NA
2,Ofi,249,10.5,NA,NA,12.3,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,250,8.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,251,10.0,NA,NA,12.8,NA,NA,14.5,7,NA,NA,NA,NA
2,Ofi,252,11.0,NA,NA,14.9,NA,NA,17.5,7,NA,NA,NA,NA
2,Ofi,253,8.1,NA,NA,11.2,NA,NA,14.0,7,NA,NA,NA,NA
2,Ofi,254,11.8,NA,NA,16.3,NA,NA,19.5,7,NA,NA,NA,NA
2,Ofi,255,11.1,NA,NA,15.1,NA,NA,18.5,7,NA,NA,NA,NA
2,Ofi,256,13.9,NA,10.0,19.1,NA,NA,22.5,7,NA,NA,NA,NA
2,Ofi,257,10.1,NA,NA,13.8,NA,NA,15.5,NA,NA,19.3,NA,NA
2,Ofi,258,9.0,NA,NA,12.8,NA,NA,23.4,1,NA,NA,NA,NA
3,Fi,259,6.4,NA,NA,6.9,4,NA,NA,NA,NA,NA,NA,NA
2,Ofi,260,11.9,NA,NA,12.4,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,261,10.2,NA,NA,13.5,NA,NA,16.0,7,NA,NA,NA,NA
2,Ofi,262,7.5,NA,NA,9.3,NA,NA,11.5,7,NA,NA,NA,NA
2,Ofi,263,9.5,NA,NA,14.1,NA,NA,18.9,NA,19.5,23.1,NA,22.3
2,Ofi,264,12.4,NA,NA,13.3,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,265,8.9,NA,NA,10.5,NA,NA,12.0,7,NA,NA,NA,NA
2,Ofi,266,10.9,NA,NA,15.9,NA,NA,20.0,NA,NA,22.2,NA,NA
2,Ofi,267,10.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,268,15.1,NA,NA,19.6,NA,NA,22.4,NA,NA,24.2,NA,NA
2,Ofi,269,8.4,NA,NA,12.9,NA,NA,14.8,1,NA,NA,NA,NA
2,Ofi,270,6.2,NA,NA,6.6,4,NA,NA,NA,NA,NA,NA,NA
2,Ofi,271,13.2,NA,NA,19.3,NA,NA,22.0,7,NA,NA,NA,NA
2,Ofi,272,9.2,NA,NA,13.1,NA,NA,15.0,7,NA,NA,NA,NA
2,Ofi,273,10.8,NA,9.0,14.3,NA,NA,16.0,7,NA,NA,NA,NA
2,Ofi,274,10.3,NA,NA,13.6,NA,NA,16.0,7,NA,NA,NA,NA
2,Ofi,275,11.4,NA,NA,15.1,NA,NA,16.1,1,NA,NA,NA,NA
2,Ofi,276,9.8,NA,NA,12.8,NA,NA,15.0,7,NA,NA,NA,NA
2,Ofi,277,12.8,NA,NA,19.1,NA,NA,24.1,NA,NA,27.6,NA,NA
2,Ofi,278,11.6,NA,NA,17.5,NA,NA,21.9,1,NA,NA,NA,NA
2,Ofi,279,9.0,NA,NA,14.9,NA,NA,18.0,7,NA,NA,NA,NA
2,Ofi,280,4.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,281,11.4,NA,10.0,17.1,NA,14.5,22.5,NA,NA,26.1,NA,NA
2,Ofi,282,12.2,NA,NA,15.1,NA,NA,17.0,7,NA,NA,NA,NA
2,Ofi,283,10.0,NA,NA,12.5,NA,NA,15.0,1,NA,NA,NA,NA
2,Ofi,284,11.8,NA,NA,15.3,NA,NA,18.0,7,NA,NA,NA,NA
2,Ofi,285,10.1,NA,9.5,12.0,NA,NA,15.0,NA,NA,18.6,NA,NA
2,Ofi,286,11.6,NA,NA,15.1,NA,NA,17.0,7,NA,NA,NA,NA
2,Ofi,287,9.2,NA,NA,14.4,NA,13.5,16.0,7,NA,NA,NA,NA
2,Ofi,288,11.4,NA,NA,15.4,NA,14.8,17.5,NA,NA,19.9,NA,NA
2,Ofi,289,12.2,NA,NA,18.0,NA,NA,23.6,NA,19.8,26.5,NA,22.5
2,Ofi,290,10.4,NA,10.0,16.8,NA,15.3,23.3,NA,NA,28.9,NA,NA
